# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.530461e+01 6.198934e-08 2.564705e-19) (1.148936e-01 1.231871e-10 -1.024911e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.606533e-19 2.016590e-18 3.719296e-14) (-1.069687e-20 3.995770e-21 -7.720165e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((4.188341e-01 -9.973965e-08 -1.218190e-21) (1.074597e-01 -9.371505e-11 2.139947e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.524240e-20 5.520755e-20 1.782584e-13) (-2.251034e-22 1.340992e-20 1.908104e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((1.577332e-01 3.878078e-08 4.401936e-22) (1.036470e-01 6.486360e-11 1.513030e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.654465e-21 2.070545e-20 -1.132547e-13) (-5.819357e-23 1.307940e-20 2.893833e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((1.140904e-01 -8.320014e-09 5.157108e-22) (1.005742e-01 3.644202e-11 1.512657e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.083165e-21 1.496095e-20 -2.395030e-15) (-3.173771e-23 1.273759e-20 2.612055e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((9.776774e-02 4.951514e-09 5.523285e-22) (9.785488e-02 3.620588e-11 1.544420e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.512232e-21 1.280923e-20 -6.333901e-14) (-2.464254e-23 1.241820e-20 2.257332e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((9.021119e-02 8.298611e-09 5.449481e-22) (9.536958e-02 1.150213e-10 1.602241e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.271594e-21 1.181205e-20 5.098416e-14) (-2.371502e-23 1.211903e-20 4.431618e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((8.612072e-02 7.132819e-09 5.137855e-22) (9.306010e-02 1.915599e-10 1.678065e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.146176e-21 1.127427e-20 -2.200421e-14) (-2.472870e-23 1.183696e-20 5.642582e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((8.352828e-02 -2.903714e-09 4.677605e-22) (9.089261e-02 2.377104e-10 1.766444e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.055110e-21 1.093667e-20 1.134040e-14) (-2.623014e-23 1.156976e-20 6.290169e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((8.163198e-02 -9.354228e-09 4.146482e-22) (8.884481e-02 2.580700e-10 1.862266e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.970952e-21 1.069208e-20 -1.836306e-14) (-2.769996e-23 1.131568e-20 6.590990e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((8.007417e-02 1.865679e-09 3.576183e-22) (8.690087e-02 2.982798e-10 1.962617e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.888452e-21 1.049091e-20 1.851733e-14) (-2.892474e-23 1.107349e-20 6.572787e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.055         	((7.869470e-02 2.983836e-09 3.001756e-22) (8.504885e-02 3.319079e-10 2.065350e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.807151e-21 1.031072e-20 -3.759240e-14) (-2.983148e-23 1.084198e-20 6.316724e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06          	((7.740876e-02 7.262469e-09 2.424314e-22) (8.327957e-02 3.637285e-10 2.169832e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.727774e-21 1.014005e-20 -6.618988e-15) (-3.049780e-23 1.062026e-20 5.879357e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.065         	((7.618696e-02 2.282374e-09 1.860067e-22) (8.158553e-02 3.754123e-10 2.275301e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.650045e-21 9.975848e-21 -2.700177e-14) (-3.102621e-23 1.040746e-20 5.309334e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07          	((7.501631e-02 1.751959e-09 1.314035e-22) (7.996054e-02 3.769219e-10 2.381054e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.574923e-21 9.817133e-21 -3.190827e-14) (-3.151561e-23 1.020287e-20 4.637000e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.075         	((7.388362e-02 1.467903e-09 7.765105e-23) (7.839946e-02 3.712561e-10 2.487179e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.504345e-21 9.662446e-21 -7.375210e-14) (-3.208709e-23 1.000597e-20 3.892408e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.08          	((7.279800e-02 1.085587e-09 2.679570e-23) (7.689777e-02 3.591728e-10 2.592880e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.438336e-21 9.513919e-21 -1.995504e-14) (-3.273156e-23 9.816127e-21 3.101745e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.085         	((7.175407e-02 -4.083956e-09 -2.237423e-23) (7.545159e-02 3.647069e-10 2.698261e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.376670e-21 9.370614e-21 -1.401061e-13) (-3.353292e-23 9.633024e-21 5.853762e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.09          	((7.075606e-02 -5.665396e-09 -6.896593e-23) (7.405750e-02 3.649685e-10 2.802969e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.320096e-21 9.233632e-21 -1.375297e-13) (-3.442847e-23 9.456140e-21 8.237719e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.095         	((6.979410e-02 -6.020059e-09 -1.143143e-22) (7.271256e-02 3.624530e-10 2.907506e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.268860e-21 9.101323e-21 -1.830799e-13) (-3.539937e-23 9.285235e-21 1.026852e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.1           	((6.887934e-02 -6.918556e-09 -1.573938e-22) (7.141399e-02 3.553731e-10 3.011603e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.220917e-21 8.975658e-21 -1.778711e-13) (-3.635324e-23 9.119886e-21 1.199155e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.105         	((6.799634e-02 -7.219381e-09 -1.998503e-22) (7.015946e-02 3.481951e-10 3.115740e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.176654e-21 8.853961e-21 -2.128337e-13) (-3.732732e-23 8.959924e-21 1.342629e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
