# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	1.619746e-10	3.626934e+02	-8.015803e-06	-4.007740e-06	-4.008064e-06
0.01          	-6.679357e-08	1.090888e+01	7.611849e-06	3.739131e-06	3.872718e-06
0.015         	-5.127774e-08	2.597769e+01	-1.734151e-06	-9.183534e-07	-8.157980e-07
0.02          	-7.569374e-08	2.156383e+01	1.116431e-06	4.825219e-07	6.339094e-07
0.025         	-8.674778e-08	1.945218e+01	5.097464e-07	1.681254e-07	3.416210e-07
0.03          	-9.217232e-08	1.759700e+01	4.253969e-07	1.205261e-07	3.048708e-07
0.035         	-9.370915e-08	1.612012e+01	3.392766e-07	7.592917e-08	2.633475e-07
0.04          	-9.285023e-08	1.491194e+01	2.770489e-07	4.567422e-08	2.313747e-07
0.045         	-9.056417e-08	1.391679e+01	2.447561e-07	3.181387e-08	2.129422e-07
0.05          	-8.748917e-08	1.308750e+01	1.843989e-07	4.710276e-09	1.796886e-07
0.055         	-6.144820e-08	1.238892e+01	2.189715e-07	4.803757e-08	1.709340e-07
0.06          	-4.228026e-08	1.179417e+01	1.926842e-07	5.406185e-08	1.386224e-07
0.065         	-2.824169e-08	1.128258e+01	1.749082e-07	5.921239e-08	1.156958e-07
0.07          	-1.803002e-08	1.083819e+01	1.564434e-07	6.019167e-08	9.625171e-08
0.075         	-1.066644e-08	1.044868e+01	1.897195e-07	8.419332e-08	1.055262e-07
0.08          	-5.427278e-09	1.010439e+01	1.522486e-07	7.069700e-08	8.155156e-08
0.085         	-1.748675e-09	9.797601e+00	1.720920e-07	8.429732e-08	8.779467e-08
0.09          	7.628704e-10	9.522224e+00	1.544447e-07	7.798522e-08	7.645948e-08
0.095         	2.417322e-09	9.273464e+00	1.421647e-07	7.349965e-08	6.866500e-08
0.1           	1.723606e-08	9.047348e+00	1.183459e-07	7.640899e-08	4.193687e-08
0.105         	2.779954e-08	8.840731e+00	1.442290e-07	9.991405e-08	4.431497e-08
0.11          	3.517556e-08	8.650987e+00	1.722404e-07	1.212957e-07	5.094462e-08
0.115         	4.018879e-08	8.475898e+00	1.896539e-07	1.350157e-07	5.463816e-08
0.12          	4.342419e-08	8.313757e+00	2.045301e-07	1.456893e-07	5.884088e-08
0.125         	4.534293e-08	8.162990e+00	2.216124e-07	1.561491e-07	6.546327e-08
0.13          	4.628049e-08	8.022349e+00	2.341225e-07	1.633418e-07	7.078077e-08
0.135         	4.649782e-08	7.890739e+00	2.435348e-07	1.682652e-07	7.526960e-08
0.14          	4.618288e-08	7.767271e+00	2.427243e-07	1.675450e-07	7.517926e-08
0.145         	7.974882e-08	7.651105e+00	1.486877e-07	1.540927e-07	-5.404972e-09
0.15          	1.047184e-07	7.541566e+00	2.001922e-07	2.048145e-07	-4.622305e-09
0.155         	1.230607e-07	7.438067e+00	2.204467e-07	2.332841e-07	-1.283741e-08
0.16          	1.363027e-07	7.340115e+00	2.509371e-07	2.617712e-07	-1.083409e-08
0.165         	1.456089e-07	7.247181e+00	2.623075e-07	2.767627e-07	-1.445519e-08
0.17          	1.518755e-07	7.158875e+00	2.740501e-07	2.889005e-07	-1.485042e-08
0.175         	1.557926e-07	7.074802e+00	2.921221e-07	3.018536e-07	-9.731511e-09
0.18          	1.578881e-07	6.994728e+00	2.971510e-07	3.064636e-07	-9.312565e-09
0.185         	1.585956e-07	6.918260e+00	3.033756e-07	3.102835e-07	-6.907817e-09
0.19          	1.582184e-07	6.845191e+00	3.030756e-07	3.097561e-07	-6.680576e-09
0.195         	1.570103e-07	6.775288e+00	3.062424e-07	3.101315e-07	-3.889143e-09
0.2           	1.551703e-07	6.708305e+00	3.076195e-07	3.089800e-07	-1.360535e-09
0.205         	1.528514e-07	6.644127e+00	3.077318e-07	3.067173e-07	1.014478e-09
0.21          	1.501801e-07	6.582478e+00	3.046985e-07	3.025293e-07	2.169189e-09
0.215         	1.472463e-07	6.523232e+00	3.032706e-07	2.988816e-07	4.388990e-09
0.22          	1.441266e-07	6.466280e+00	3.087437e-07	2.984984e-07	1.024525e-08
0.225         	1.408782e-07	6.411418e+00	3.053126e-07	2.935345e-07	1.177811e-08
0.23          	1.375491e-07	6.358603e+00	2.995517e-07	2.873250e-07	1.222672e-08
0.235         	1.341877e-07	6.307645e+00	2.998778e-07	2.841266e-07	1.575123e-08
0.24          	1.308089e-07	6.258468e+00	2.963191e-07	2.789685e-07	1.735061e-08
0.245         	1.274399e-07	6.211005e+00	2.919030e-07	2.733914e-07	1.851156e-08
0.25          	1.241022e-07	6.165142e+00	2.912333e-07	2.697188e-07	2.151444e-08
0.255         	1.208055e-07	6.120774e+00	2.844764e-07	2.630437e-07	2.143272e-08
0.26          	1.175593e-07	6.077896e+00	2.809032e-07	2.580109e-07	2.289225e-08
0.265         	1.143786e-07	6.036346e+00	2.789036e-07	2.538304e-07	2.507314e-08
0.27          	1.112633e-07	5.996098e+00	2.770658e-07	2.497962e-07	2.726963e-08
0.275         	1.082174e-07	5.957087e+00	2.733951e-07	2.449149e-07	2.848017e-08
0.28          	1.052450e-07	5.919246e+00	2.714310e-07	2.409605e-07	3.047053e-08
0.285         	1.210567e-07	5.882536e+00	5.194110e-08	1.470273e-07	-9.508620e-08
0.29          	1.330522e-07	5.846929e+00	1.249854e-07	1.955449e-07	-7.055949e-08
0.295         	1.420657e-07	5.812298e+00	1.643114e-07	2.242214e-07	-5.990999e-08
0.3           	1.487239e-07	5.778671e+00	2.028501e-07	2.501489e-07	-4.729884e-08
0.305         	1.535324e-07	5.745980e+00	2.373986e-07	2.722317e-07	-3.483307e-08
0.31          	1.568766e-07	5.714178e+00	2.628161e-07	2.882847e-07	-2.546853e-08
0.315         	1.590587e-07	5.683241e+00	2.860166e-07	3.020670e-07	-1.605036e-08
0.32          	1.603160e-07	5.653138e+00	3.043529e-07	3.124924e-07	-8.139517e-09
0.325         	1.608355e-07	5.623799e+00	3.175205e-07	3.195958e-07	-2.075296e-09
0.33          	1.607656e-07	5.595273e+00	3.298197e-07	3.256755e-07	4.144188e-09
0.335         	1.602271e-07	5.567438e+00	3.379343e-07	3.291943e-07	8.740010e-09
0.34          	1.593100e-07	5.540307e+00	3.456777e-07	3.321489e-07	1.352882e-08
0.345         	1.580893e-07	5.513851e+00	3.537704e-07	3.349745e-07	1.879593e-08
0.35          	1.566263e-07	5.488043e+00	3.584911e-07	3.358718e-07	2.261922e-08
0.355         	1.549714e-07	5.462858e+00	3.608160e-07	3.353794e-07	2.543666e-08
0.36          	1.801125e-07	5.438268e+00	1.866933e-07	2.734591e-07	-8.676579e-08
0.365         	2.002837e-07	5.414276e+00	2.443066e-07	3.224370e-07	-7.813042e-08
0.37          	2.164180e-07	5.390836e+00	2.722999e-07	3.525680e-07	-8.026807e-08
0.375         	2.292674e-07	5.367957e+00	3.008189e-07	3.796768e-07	-7.885795e-08
0.38          	2.394437e-07	5.345565e+00	3.256143e-07	4.022509e-07	-7.663657e-08
0.385         	2.474065e-07	5.323703e+00	3.456774e-07	4.202452e-07	-7.456780e-08
0.39          	2.535454e-07	5.302314e+00	3.626600e-07	4.348754e-07	-7.221542e-08
0.395         	2.581720e-07	5.281385e+00	3.790052e-07	4.476746e-07	-6.866935e-08
0.4           	2.615374e-07	5.260914e+00	3.876127e-07	4.553438e-07	-6.773102e-08
0.405         	2.638505e-07	5.240890e+00	3.977953e-07	4.627481e-07	-6.495281e-08
0.41          	2.652833e-07	5.221286e+00	4.050185e-07	4.677926e-07	-6.277410e-08
0.415         	2.659757e-07	5.202087e+00	4.112246e-07	4.715880e-07	-6.036338e-08
0.42          	2.660427e-07	5.183282e+00	4.095570e-07	4.708212e-07	-6.126416e-08
0.425         	2.655836e-07	5.164904e+00	4.207790e-07	4.759731e-07	-5.519406e-08
0.43          	2.646900e-07	5.146867e+00	4.216308e-07	4.755054e-07	-5.387462e-08
0.435         	2.634211e-07	5.129197e+00	4.232180e-07	4.750301e-07	-5.181212e-08
0.44          	2.618372e-07	5.111880e+00	4.234744e-07	4.735744e-07	-5.010002e-08
0.445         	2.599886e-07	5.094905e+00	4.240838e-07	4.720304e-07	-4.794668e-08
0.45          	2.579173e-07	5.078261e+00	4.233466e-07	4.695906e-07	-4.624400e-08
0.455         	2.556606e-07	5.061937e+00	4.231973e-07	4.672592e-07	-4.406191e-08
0.46          	2.532486e-07	5.045915e+00	4.222643e-07	4.643807e-07	-4.211643e-08
0.465         	2.507075e-07	5.030231e+00	4.210586e-07	4.612368e-07	-4.017820e-08
0.47          	2.480620e-07	5.014816e+00	4.197313e-07	4.579276e-07	-3.819630e-08
0.475         	2.453311e-07	4.999691e+00	4.146909e-07	4.526765e-07	-3.798567e-08
0.48          	2.425312e-07	4.984848e+00	4.137131e-07	4.493877e-07	-3.567465e-08
0.485         	2.396775e-07	4.970263e+00	4.148957e-07	4.471254e-07	-3.222967e-08
0.49          	2.367813e-07	4.955945e+00	4.107377e-07	4.421501e-07	-3.141250e-08
0.495         	2.338527e-07	4.941911e+00	4.089487e-07	4.383271e-07	-2.937839e-08
0.5           	2.309141e-07	4.928100e+00	4.050831e-07	4.334556e-07	-2.837250e-08
0.505         	2.279608e-07	4.914538e+00	4.040142e-07	4.299679e-07	-2.595374e-08
0.51          	2.250026e-07	4.901214e+00	4.015773e-07	4.257912e-07	-2.421390e-08
0.515         	2.220456e-07	4.888120e+00	3.898455e-07	4.169683e-07	-2.712284e-08
0.52          	2.190966e-07	4.875251e+00	3.703644e-07	4.042788e-07	-3.391435e-08
0.525         	2.161610e-07	4.862602e+00	3.626131e-07	3.974676e-07	-3.485450e-08
0.53          	2.132401e-07	4.850166e+00	3.699720e-07	3.982261e-07	-2.825407e-08
0.535         	2.103387e-07	4.837938e+00	3.596095e-07	3.901435e-07	-3.053395e-08
0.54          	2.074623e-07	4.825914e+00	3.626958e-07	3.888102e-07	-2.611440e-08
0.545         	2.046110e-07	4.814086e+00	3.581561e-07	3.836890e-07	-2.553293e-08
0.55          	2.017891e-07	4.802442e+00	3.521232e-07	3.778507e-07	-2.572754e-08
0.555         	1.989942e-07	4.791019e+00	3.474059e-07	3.726971e-07	-2.529124e-08
0.56          	1.962342e-07	4.779753e+00	3.266853e-07	3.595768e-07	-3.289152e-08
0.565         	1.935054e-07	4.768669e+00	3.236276e-07	3.553192e-07	-3.169158e-08
0.57          	1.908089e-07	4.757763e+00	3.196753e-07	3.506465e-07	-3.097124e-08
0.575         	1.881474e-07	4.747028e+00	3.188517e-07	3.475733e-07	-2.872154e-08
0.58          	1.855212e-07	4.736461e+00	3.182882e-07	3.446653e-07	-2.637712e-08
0.585         	1.829307e-07	4.726058e+00	3.171914e-07	3.415264e-07	-2.433501e-08
0.59          	1.803770e-07	4.715812e+00	3.164594e-07	3.386067e-07	-2.214730e-08
0.595         	1.778589e-07	4.705719e+00	3.108012e-07	3.332595e-07	-2.245834e-08
0.6           	1.753778e-07	4.695785e+00	3.107502e-07	3.307529e-07	-2.000274e-08
0.605         	1.729333e-07	4.685992e+00	3.090080e-07	3.274374e-07	-1.842931e-08
0.61          	1.705263e-07	4.676367e+00	3.091906e-07	3.251216e-07	-1.593101e-08
0.615         	1.681548e-07	4.666880e+00	3.071145e-07	3.217120e-07	-1.459755e-08
0.62          	1.658220e-07	4.657521e+00	3.060980e-07	3.188710e-07	-1.277302e-08
0.625         	1.635249e-07	4.648300e+00	3.051829e-07	3.161163e-07	-1.093342e-08
0.63          	1.612636e-07	4.639214e+00	3.041012e-07	3.133142e-07	-9.213060e-09
0.635         	1.590382e-07	4.630259e+00	3.029015e-07	3.104889e-07	-7.587449e-09
0.64          	1.568482e-07	4.621432e+00	3.018993e-07	3.077978e-07	-5.898529e-09
0.645         	1.546933e-07	4.612729e+00	3.006988e-07	3.050427e-07	-4.343883e-09
0.65          	1.525729e-07	4.604144e+00	3.008693e-07	3.030075e-07	-2.138189e-09
0.655         	1.504870e-07	4.595698e+00	2.984715e-07	2.997227e-07	-1.251274e-09
0.66          	1.484357e-07	4.587355e+00	3.021092e-07	2.994903e-07	2.618933e-09
0.665         	1.464175e-07	4.579130e+00	3.002086e-07	2.965218e-07	3.686802e-09
0.67          	1.444325e-07	4.571026e+00	3.012110e-07	2.950380e-07	6.173002e-09
0.675         	1.424802e-07	4.563009e+00	2.926794e-07	2.888199e-07	3.859483e-09
0.68          	1.405594e-07	4.555116e+00	2.927391e-07	2.869290e-07	5.810129e-09
0.685         	1.386703e-07	4.547330e+00	2.915095e-07	2.844251e-07	7.084403e-09
0.69          	1.368118e-07	4.539645e+00	2.879411e-07	2.807824e-07	7.158731e-09
0.695         	1.349830e-07	4.532076e+00	2.864052e-07	2.781856e-07	8.219640e-09
0.7           	1.331903e-07	4.524592e+00	2.861713e-07	2.762760e-07	9.895310e-09
0.705         	1.314250e-07	4.517210e+00	2.848340e-07	2.738420e-07	1.099199e-08
0.71          	1.296888e-07	4.509924e+00	2.842632e-07	2.718204e-07	1.244274e-08
0.715         	1.279796e-07	4.502733e+00	2.828422e-07	2.694007e-07	1.344148e-08
0.72          	1.262999e-07	4.495635e+00	2.804477e-07	2.665238e-07	1.392392e-08
0.725         	1.246483e-07	4.488627e+00	2.809076e-07	2.651021e-07	1.580548e-08
0.73          	1.230225e-07	4.481710e+00	2.795058e-07	2.627754e-07	1.673034e-08
0.735         	1.214238e-07	4.474879e+00	2.783323e-07	2.605899e-07	1.774239e-08
0.74          	1.198514e-07	4.468135e+00	2.766547e-07	2.581788e-07	1.847592e-08
0.745         	1.183052e-07	4.461475e+00	2.755122e-07	2.560612e-07	1.945093e-08
0.75          	1.167845e-07	4.454898e+00	2.743440e-07	2.539565e-07	2.038755e-08
0.755         	1.152887e-07	4.448401e+00	2.732807e-07	2.519290e-07	2.135166e-08
0.76          	1.272441e-07	4.441968e+00	9.952288e-09	1.322203e-07	-1.222680e-07
0.765         	1.369792e-07	4.435624e+00	7.250940e-08	1.732339e-07	-1.007245e-07
0.77          	1.449169e-07	4.429380e+00	9.991671e-08	1.948753e-07	-9.495854e-08
0.775         	1.514100e-07	4.423201e+00	1.335242e-07	2.181720e-07	-8.464787e-08
