# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.721567e+01 -3.982467e-07 3.012860e-19) (9.189995e-01 -2.543446e-09 -1.205291e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.300091e-19 2.268049e-18 -1.939009e-13) (-7.837268e-20 1.011405e-19 8.292631e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((-2.188534e-01 3.770969e-07 -1.623555e-20) (7.642975e-01 3.495597e-09 8.561513e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.945072e-21 -2.871268e-20 2.609030e-13) (-5.041131e-22 9.737763e-20 -3.339939e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((6.451401e-01 -8.692088e-08 1.312156e-20) (6.537446e-01 2.133143e-10 -3.290861e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.373359e-20 8.509564e-20 5.433954e-15) (-4.244868e-21 8.281662e-20 -2.563892e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((5.085037e-01 5.717849e-08 9.427586e-21) (5.696878e-01 -1.356925e-09 -1.699145e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.860838e-20 6.702384e-20 4.140664e-14) (-3.589575e-21 7.238682e-20 -3.784728e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((4.674146e-01 2.833533e-08 7.840024e-21) (5.051945e-01 -2.848005e-09 -8.446330e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.707920e-20 6.159467e-20 -9.766487e-14) (-3.335036e-21 6.429024e-20 -4.337292e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((4.254886e-01 2.481412e-08 6.578948e-21) (4.543612e-01 -3.544280e-09 -8.621944e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.552912e-20 5.606180e-20 -3.345794e-14) (-3.086949e-21 5.789860e-20 -4.608583e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((3.921380e-01 2.090574e-08 5.656275e-21) (4.138678e-01 -3.941905e-09 5.457316e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.429839e-20 5.166148e-20 -3.119303e-14) (-2.880296e-21 5.279284e-20 -4.685426e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((3.644356e-01 1.796208e-08 4.960196e-21) (3.811614e-01 -4.109631e-09 1.081209e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.327693e-20 4.800661e-20 -3.423597e-14) (-2.703787e-21 4.866025e-20 -4.642477e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((3.414223e-01 1.636798e-08 4.421957e-21) (3.544174e-01 -4.130180e-09 1.541237e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.242832e-20 4.497017e-20 -1.802368e-14) (-2.552795e-21 4.527467e-20 -4.528191e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((3.220936e-01 1.326241e-08 3.995257e-21) (3.322815e-01 -4.042463e-09 1.940154e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.171503e-20 4.241963e-20 -2.634497e-14) (-2.422638e-21 4.246778e-20 -4.374432e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.055         	((3.057025e-01 1.471508e-08 3.649784e-21) (3.137436e-01 -3.766504e-09 2.290417e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.110985e-20 4.025627e-20 -4.528731e-14) (-2.309672e-21 4.011352e-20 -3.072365e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06          	((2.916670e-01 1.300796e-08 3.364581e-21) (2.980413e-01 -3.373752e-09 2.600686e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.059082e-20 3.840337e-20 -2.478588e-14) (-2.210934e-21 3.811681e-20 -2.113988e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
