# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.001         	-1.440540e-10	1.572341e+03	1.381029e-05	6.904999e-06	6.905287e-06
0.002         	-2.466245e-10	2.683675e+01	-1.460584e-05	-7.303168e-06	-7.302675e-06
0.003         	-1.250879e-10	1.425421e+01	5.814936e-07	2.906217e-07	2.908719e-07
0.004         	-1.679603e-10	8.356541e+00	1.745646e-06	8.726550e-07	8.729909e-07
0.005         	-3.055656e-10	7.689773e+00	4.479388e-07	2.236638e-07	2.242750e-07
0.006         	-4.600105e-10	7.475164e+00	-2.463628e-07	-1.236414e-07	-1.227214e-07
0.007         	-6.320817e-10	7.346389e+00	-8.714903e-08	-4.420660e-08	-4.294243e-08
0.008         	-8.025438e-10	7.231762e+00	1.810855e-07	8.974021e-08	9.134529e-08
0.009         	-9.854422e-10	7.115804e+00	1.824751e-07	9.025210e-08	9.222298e-08
0.01          	-1.162189e-09	6.996651e+00	-4.182231e-07	-2.102738e-07	-2.079494e-07
0.011         	-1.333150e-09	6.875716e+00	2.524608e-07	1.248973e-07	1.275636e-07
0.012         	-1.502666e-09	6.754795e+00	5.341827e-08	2.520647e-08	2.821180e-08
0.013         	-1.666963e-09	6.635395e+00	4.214881e-08	1.940744e-08	2.274137e-08
0.014         	-1.825897e-09	6.518558e+00	-2.162540e-07	-1.099529e-07	-1.063011e-07
0.015         	-1.975853e-09	6.404922e+00	2.932191e-07	1.446337e-07	1.485854e-07
0.016         	-2.118275e-09	6.294861e+00	2.255605e-08	9.159752e-09	1.339630e-08
0.017         	-2.255047e-09	6.188513e+00	3.998246e-08	1.773618e-08	2.224628e-08
0.018         	-2.384308e-09	6.085911e+00	4.632959e-08	2.078049e-08	2.554910e-08
0.019         	-2.506147e-09	5.986964e+00	4.172468e-08	1.835619e-08	2.336849e-08
0.02          	-2.620518e-09	5.891562e+00	5.093910e-08	2.284903e-08	2.809007e-08
0.021         	-2.728349e-09	5.799535e+00	5.127034e-08	2.290682e-08	2.836352e-08
0.022         	-2.829464e-09	5.710723e+00	5.543169e-08	2.488638e-08	3.054531e-08
0.023         	-2.923636e-09	5.624942e+00	5.453469e-08	2.434371e-08	3.019098e-08
0.024         	-3.011860e-09	5.542040e+00	4.267875e-08	1.832751e-08	2.435123e-08
0.025         	-3.093912e-09	5.461847e+00	3.972891e-08	1.677054e-08	2.295837e-08
0.026         	-3.170730e-09	5.384221e+00	3.374566e-08	1.370210e-08	2.004356e-08
0.027         	-3.240449e-09	5.309016e+00	4.042708e-08	1.697309e-08	2.345399e-08
0.028         	-3.305045e-09	5.236108e+00	4.406428e-08	1.872710e-08	2.533719e-08
0.029         	-3.364838e-09	5.165378e+00	3.857322e-08	1.592177e-08	2.265145e-08
0.03          	-3.419408e-09	5.096724e+00	4.294951e-08	1.805534e-08	2.489416e-08
0.031         	-3.469142e-09	5.030036e+00	4.161882e-08	1.734027e-08	2.427855e-08
0.032         	-3.514727e-09	4.965210e+00	4.236968e-08	1.767011e-08	2.469957e-08
0.033         	-3.555872e-09	4.902170e+00	4.285368e-08	1.787097e-08	2.498271e-08
0.034         	-3.593007e-09	4.840832e+00	4.383811e-08	1.832605e-08	2.551206e-08
0.035         	-3.626343e-09	4.781135e+00	4.444557e-08	1.859644e-08	2.584913e-08
0.036         	-3.655898e-09	4.723015e+00	4.626784e-08	1.947802e-08	2.678982e-08
0.037         	-3.682215e-09	4.666382e+00	4.328437e-08	1.795997e-08	2.532440e-08
0.038         	-3.705132e-09	4.611204e+00	4.332864e-08	1.795919e-08	2.536945e-08
0.039         	-3.725092e-09	4.557421e+00	4.338306e-08	1.796644e-08	2.541662e-08
0.04          	-3.742207e-09	4.504982e+00	4.351244e-08	1.801401e-08	2.549842e-08
0.041         	-3.756655e-09	4.453823e+00	4.296185e-08	1.772427e-08	2.523758e-08
0.042         	-3.768398e-09	4.403915e+00	4.370570e-08	1.808445e-08	2.562125e-08
0.043         	-3.777999e-09	4.355210e+00	4.276273e-08	1.760337e-08	2.515937e-08
0.044         	-3.785225e-09	4.307658e+00	4.374364e-08	1.808660e-08	2.565705e-08
0.045         	-3.790447e-09	4.261254e+00	4.281553e-08	1.761732e-08	2.519821e-08
