# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.0025        	((3.039383e+01 2.115453e-07 5.106557e-19) (1.167841e-01 1.608310e-10 -1.113742e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.113329e-18 4.004738e-18 1.016850e-12) (-1.180534e-20 3.122139e-21 -1.343852e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.005         	((8.685625e-01 -2.435097e-07 -2.632068e-21) (1.099437e-01 -1.033975e-10 1.448199e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.173395e-20 1.145628e-19 -2.633831e-12) (-2.648341e-22 1.368609e-20 -1.208340e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0075        	((2.481987e-01 4.986017e-08 3.838862e-22) (1.072215e-01 -4.708835e-11 8.215504e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.046991e-21 3.265682e-20 1.198880e-12) (-4.142250e-23 1.353499e-20 -2.063730e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((1.554273e-01 -4.055969e-08 6.019893e-22) (1.051325e-01 -8.421532e-11 7.903716e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.655493e-21 2.044506e-20 3.484474e-13) (-7.186088e-24 1.332250e-20 -2.079193e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0125        	((1.202503e-01 8.239360e-09 7.133885e-22) (1.033312e-01 -6.571531e-11 7.902120e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.371971e-21 1.581124e-20 2.221325e-14) (4.640499e-24 1.312201e-20 -2.026330e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((1.043149e-01 5.622071e-09 7.605596e-22) (1.017052e-01 -4.790662e-11 8.063758e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.797791e-21 1.371007e-20 -2.324252e-14) (8.581614e-24 1.293366e-20 -1.944807e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0175        	((9.637679e-02 3.114960e-08 7.710560e-22) (1.002024e-01 -7.554795e-14 8.320195e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.521684e-21 1.266182e-20 1.385581e-13) (9.130659e-24 1.275576e-20 -1.835254e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((9.212194e-02 -7.441070e-09 7.585768e-22) (9.879335e-02 -7.665894e-12 8.637518e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.386605e-21 1.209897e-20 -1.176528e-13) (8.188973e-24 1.258671e-20 -1.690490e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0225        	((8.965898e-02 -7.356612e-09 7.335075e-22) (9.745979e-02 -1.538620e-11 8.999569e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.320784e-21 1.177261e-20 1.448397e-15) (6.616807e-24 1.242524e-20 -1.534592e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((8.809611e-02 -4.976581e-09 7.003748e-22) (9.618910e-02 -1.786783e-11 9.400190e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.284447e-21 1.156589e-20 -2.780363e-14) (4.849041e-24 1.227035e-20 -1.377230e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
