# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.0025        	-2.508432e-11	6.100129e+02	2.401410e-06	1.200680e-06	1.200730e-06
0.005         	-9.810170e-11	1.951058e+01	-4.236207e-06	-2.118202e-06	-2.118005e-06
0.0075        	-2.555497e-10	7.111626e+00	1.835057e-06	9.172728e-07	9.177839e-07
0.01          	-2.764590e-10	5.212503e+00	-4.673308e-07	-2.339418e-07	-2.333889e-07
0.0125        	-2.692266e-10	4.471793e+00	4.102375e-07	2.048495e-07	2.053880e-07
0.015         	-2.522146e-10	4.119956e+00	-1.891977e-07	-9.485106e-08	-9.434663e-08
0.0175        	-2.327132e-10	3.930743e+00	9.930634e-08	4.942046e-08	4.988588e-08
0.02          	-2.087239e-10	3.817197e+00	-1.356077e-08	-6.989107e-09	-6.571660e-09
0.0225        	-1.851094e-10	3.741061e+00	2.838393e-07	1.417345e-07	1.421047e-07
0.025         	-1.544891e-10	3.684231e+00	-1.514547e-07	-7.588184e-08	-7.557286e-08
0.0275        	-1.235885e-10	3.637605e+00	-2.069277e-09	-1.158227e-09	-9.110499e-10
0.03          	-9.271395e-11	3.596432e+00	-2.415907e-08	-1.217225e-08	-1.198682e-08
0.0325        	-6.235769e-11	3.558199e+00	-1.575626e-07	-7.884367e-08	-7.871895e-08
0.035         	-2.984754e-11	3.521605e+00	-8.461374e-08	-4.233672e-08	-4.227702e-08
0.0375        	-1.606925e-13	3.485936e+00	2.625434e-08	1.312701e-08	1.312733e-08
0.04          	2.972322e-11	3.450952e+00	-4.642535e-08	-2.318295e-08	-2.324240e-08
0.0425        	5.876845e-11	3.416424e+00	-4.409035e-08	-2.198641e-08	-2.210394e-08
0.045         	8.739567e-11	3.382276e+00	-3.587387e-08	-1.784954e-08	-1.802433e-08
0.0475        	1.148602e-10	3.348522e+00	-2.952397e-08	-1.464713e-08	-1.487685e-08
0.05          	1.415578e-10	3.315229e+00	-2.398151e-08	-1.184920e-08	-1.213231e-08
0.0525        	1.666585e-10	3.282400e+00	-2.582237e-08	-1.274453e-08	-1.307784e-08
0.055         	1.912411e-10	3.250105e+00	-2.344422e-08	-1.153087e-08	-1.191335e-08
0.0575        	2.146964e-10	3.218360e+00	-2.281683e-08	-1.119372e-08	-1.162311e-08
0.06          	2.369214e-10	3.187228e+00	-2.114809e-08	-1.033713e-08	-1.081097e-08
0.0625        	2.593167e-10	3.156686e+00	-1.345443e-08	-6.467898e-09	-6.986531e-09
0.065         	2.786335e-10	3.126759e+00	-1.753408e-08	-8.488407e-09	-9.045674e-09
0.0675        	2.985288e-10	3.097450e+00	-2.211961e-08	-1.076128e-08	-1.135833e-08
0.07          	3.172213e-10	3.068763e+00	-2.023523e-08	-9.800392e-09	-1.043483e-08
0.0725        	3.355674e-10	3.040686e+00	-2.358122e-08	-1.145504e-08	-1.212618e-08
0.075         	3.530905e-10	3.013335e+00	-2.326682e-08	-1.128032e-08	-1.198650e-08
0.0775        	3.695559e-10	2.986579e+00	-1.699093e-08	-8.125911e-09	-8.865023e-09
0.08          	3.839384e-10	2.960385e+00	-1.556122e-08	-7.396673e-09	-8.164550e-09
0.0825        	3.995717e-10	2.934735e+00	-1.505398e-08	-7.127421e-09	-7.926564e-09
0.085         	4.122379e-10	2.909680e+00	-1.785719e-08	-8.516357e-09	-9.340833e-09
0.0875        	4.259000e-10	2.885179e+00	-1.625603e-08	-7.702117e-09	-8.553917e-09
0.09          	4.382278e-10	2.861282e+00	-1.714079e-08	-8.132167e-09	-9.008623e-09
0.0925        	4.502753e-10	2.837859e+00	-1.416962e-08	-6.634533e-09	-7.535084e-09
0.095         	4.612392e-10	2.814966e+00	-1.555391e-08	-7.315718e-09	-8.238196e-09
0.0975        	4.717604e-10	2.792547e+00	-1.438430e-08	-6.720389e-09	-7.663910e-09
0.1           	4.815704e-10	2.770636e+00	-1.534313e-08	-7.189994e-09	-8.153135e-09
0.1025        	4.909638e-10	2.749172e+00	-1.419174e-08	-6.604907e-09	-7.586834e-09
0.105         	4.996633e-10	2.728183e+00	-1.491729e-08	-6.958980e-09	-7.958307e-09
0.1075        	5.080604e-10	2.707623e+00	-1.398115e-08	-6.482513e-09	-7.498634e-09
0.11          	5.156003e-10	2.687669e+00	-1.651469e-08	-7.741747e-09	-8.772947e-09
0.1125        	5.232565e-10	2.668026e+00	-1.231874e-08	-5.636115e-09	-6.682628e-09
0.115         	5.301374e-10	2.648774e+00	-1.302196e-08	-5.980840e-09	-7.041115e-09
0.1175        	5.365430e-10	2.629977e+00	-1.409343e-08	-6.510170e-09	-7.583257e-09
0.12          	5.427853e-10	2.611471e+00	-1.321738e-08	-6.065905e-09	-7.151475e-09
0.1225        	5.482980e-10	2.593387e+00	-1.506386e-08	-6.983634e-09	-8.080230e-09
0.125         	5.543485e-10	2.575611e+00	-1.608820e-08	-7.489752e-09	-8.598449e-09
0.1275        	5.589220e-10	2.558205e+00	-1.132697e-08	-5.104565e-09	-6.222409e-09
0.13          	5.635585e-10	2.541124e+00	-1.534968e-08	-7.111280e-09	-8.238397e-09
0.1325        	5.680145e-10	2.524420e+00	-1.530523e-08	-7.084600e-09	-8.220629e-09
0.135         	5.721302e-10	2.508013e+00	-1.346538e-08	-6.160561e-09	-7.304822e-09
0.1375        	5.760797e-10	2.491930e+00	-1.395863e-08	-6.403236e-09	-7.555396e-09
0.14          	5.797254e-10	2.476139e+00	-1.331515e-08	-6.077847e-09	-7.237298e-09
0.1425        	5.832799e-10	2.460839e+00	-1.456523e-08	-6.699337e-09	-7.865897e-09
0.145         	5.864250e-10	2.445890e+00	-1.425353e-08	-6.540341e-09	-7.713191e-09
0.1475        	5.890937e-10	2.430969e+00	-1.208318e-08	-5.452497e-09	-6.630685e-09
0.15          	5.921060e-10	2.416473e+00	-1.293401e-08	-5.874900e-09	-7.059112e-09
0.1525        	5.944845e-10	2.402116e+00	-1.480331e-08	-6.807170e-09	-7.996138e-09
0.155         	5.970588e-10	2.388163e+00	-1.488750e-08	-6.846690e-09	-8.040808e-09
0.1575        	5.990650e-10	2.374340e+00	-1.304870e-08	-5.925284e-09	-7.123414e-09
0.16          	6.010820e-10	2.360854e+00	-1.565477e-08	-7.226302e-09	-8.428466e-09
0.1625        	6.030758e-10	2.347556e+00	-1.216110e-08	-5.477476e-09	-6.683628e-09
0.165         	6.047121e-10	2.334496e+00	-1.423379e-08	-6.512183e-09	-7.721607e-09
0.1675        	6.063525e-10	2.321660e+00	-1.322392e-08	-6.005610e-09	-7.218315e-09
0.17          	6.078009e-10	2.309083e+00	-1.413653e-08	-6.460467e-09	-7.676068e-09
0.1725        	6.091901e-10	2.296837e+00	-1.449846e-08	-6.640038e-09	-7.858419e-09
0.175         	6.104072e-10	2.284804e+00	-1.348996e-08	-6.134575e-09	-7.355389e-09
0.1775        	6.116544e-10	2.273090e+00	-1.361536e-08	-6.196024e-09	-7.419333e-09
0.18          	6.126131e-10	2.261459e+00	-1.309255e-08	-5.933659e-09	-7.158886e-09
0.1825        	6.136755e-10	2.250031e+00	-1.338582e-08	-6.079236e-09	-7.306587e-09
0.185         	6.145599e-10	2.238792e+00	-1.334711e-08	-6.058995e-09	-7.288114e-09
0.1875        	6.153137e-10	2.227761e+00	-1.353552e-08	-6.152446e-09	-7.383073e-09
0.19          	6.160243e-10	2.216915e+00	-1.357349e-08	-6.170721e-09	-7.402770e-09
0.1925        	6.166531e-10	2.206263e+00	-1.365016e-08	-6.208427e-09	-7.441733e-09
0.195         	6.172130e-10	2.195797e+00	-1.365596e-08	-6.210768e-09	-7.445194e-09
0.1975        	6.177380e-10	2.185517e+00	-1.365243e-08	-6.208476e-09	-7.443952e-09
0.2           	6.181989e-10	2.175417e+00	-1.368775e-08	-6.225679e-09	-7.462076e-09
0.2025        	6.186139e-10	2.165527e+00	-1.368266e-08	-6.222717e-09	-7.459945e-09
0.205         	6.189175e-10	2.155946e+00	-1.615941e-08	-7.460786e-09	-8.698621e-09
0.2075        	6.193054e-10	2.146167e+00	-7.191071e-09	-2.976230e-09	-4.214841e-09
0.21          	6.198021e-10	2.136836e+00	-1.824164e-08	-8.501018e-09	-9.740623e-09
0.2125        	6.199403e-10	2.127661e+00	-1.350403e-08	-6.132074e-09	-7.371955e-09
0.215         	6.204004e-10	2.118778e+00	-1.506781e-08	-6.913502e-09	-8.154303e-09
0.2175        	6.203859e-10	2.109867e+00	-1.203721e-08	-5.398217e-09	-6.638989e-09
0.22          	6.208259e-10	2.101180e+00	-1.435963e-08	-6.558990e-09	-7.800642e-09
0.2225        	6.207576e-10	2.092602e+00	-1.247953e-08	-5.619006e-09	-6.860521e-09
0.225         	6.210661e-10	2.084198e+00	-1.539378e-08	-7.075823e-09	-8.317955e-09
0.2275        	6.211467e-10	2.075943e+00	-1.527480e-08	-7.016251e-09	-8.258545e-09
0.23          	6.212210e-10	2.067813e+00	-1.148679e-08	-5.122173e-09	-6.364615e-09
0.2325        	6.213489e-10	2.059831e+00	-1.489331e-08	-6.825307e-09	-8.068005e-09
0.235         	6.213273e-10	2.051996e+00	-1.628702e-08	-7.522182e-09	-8.764837e-09
0.2375        	6.214159e-10	2.044301e+00	-1.474867e-08	-6.752921e-09	-7.995753e-09
0.24          	6.215844e-10	2.036947e+00	-1.708409e-08	-7.920462e-09	-9.163631e-09
0.2425        	6.214122e-10	2.029342e+00	-9.978643e-09	-4.367909e-09	-5.610734e-09
0.245         	6.214760e-10	2.022209e+00	-1.962969e-08	-9.193368e-09	-1.043632e-08
0.2475        	6.214729e-10	2.014873e+00	-9.811022e-09	-4.284038e-09	-5.526984e-09
0.25          	6.211244e-10	2.007881e+00	-1.817086e-08	-8.464308e-09	-9.706557e-09
0.2525        	6.210744e-10	2.000805e+00	-1.190050e-08	-5.329175e-09	-6.571324e-09
0.255         	6.211875e-10	1.994309e+00	-2.438362e-08	-1.157062e-08	-1.281300e-08
0.2575        	6.209086e-10	1.987676e+00	-8.323302e-09	-3.540743e-09	-4.782560e-09
0.26          	6.208930e-10	1.981132e+00	-1.481123e-08	-6.784724e-09	-8.026510e-09
0.2625        	6.208252e-10	1.974683e+00	-1.525859e-08	-7.008471e-09	-8.250121e-09
0.265         	6.207207e-10	1.968348e+00	-1.553058e-08	-7.144569e-09	-8.386010e-09
0.2675        	6.206622e-10	1.962118e+00	-1.574832e-08	-7.253496e-09	-8.494820e-09
0.27          	6.205772e-10	1.955986e+00	-1.383569e-08	-6.297267e-09	-7.538421e-09
0.2725        	6.205687e-10	1.949952e+00	-1.493119e-08	-6.845025e-09	-8.086163e-09
0.275         	6.204513e-10	1.944018e+00	-1.499079e-08	-6.874945e-09	-8.115847e-09
0.2775        	6.203764e-10	1.938182e+00	-1.468149e-08	-6.720371e-09	-7.961124e-09
0.28          	6.203646e-10	1.932444e+00	-1.457138e-08	-6.665325e-09	-7.906054e-09
0.2825        	6.202529e-10	1.926972e+00	-1.636169e-08	-7.560591e-09	-8.801096e-09
0.285         	6.201903e-10	1.921295e+00	-1.128945e-08	-5.024535e-09	-6.264916e-09
0.2875        	6.201176e-10	1.915972e+00	-1.692889e-08	-7.844327e-09	-9.084562e-09
0.29          	6.199505e-10	1.910487e+00	-1.137679e-08	-5.068447e-09	-6.308348e-09
0.2925        	6.199470e-10	1.905290e+00	-1.615429e-08	-7.457197e-09	-8.697091e-09
0.295         	6.195176e-10	1.900029e+00	-1.309220e-08	-5.926583e-09	-7.165618e-09
0.2975        	6.196852e-10	1.894941e+00	-1.455716e-08	-6.658892e-09	-7.898263e-09
0.3           	6.194215e-10	1.889869e+00	-1.347214e-08	-6.116651e-09	-7.355494e-09
0.3025        	6.193644e-10	1.884857e+00	-1.776919e-08	-8.265232e-09	-9.503961e-09
0.305         	6.191317e-10	1.880076e+00	-1.057924e-08	-4.670486e-09	-5.908750e-09
0.3075        	6.188804e-10	1.875553e+00	-1.534820e-08	-7.055219e-09	-8.292980e-09
0.31          	6.187026e-10	1.870921e+00	-1.302180e-08	-5.892198e-09	-7.129603e-09
0.3125        	6.186109e-10	1.866314e+00	-4.548970e-08	-2.212624e-08	-2.336346e-08
0.315         	6.182524e-10	1.861752e+00	1.584585e-08	8.541176e-09	7.304671e-09
0.3175        	6.178002e-10	1.857302e+00	-4.711227e-08	-2.293833e-08	-2.417393e-08
0.32          	6.177662e-10	1.852925e+00	-1.839362e-08	-8.579043e-09	-9.814576e-09
0.3225        	6.172811e-10	1.848625e+00	-1.336952e-08	-6.067481e-09	-7.302044e-09
0.325         	6.167218e-10	1.844397e+00	9.481737e-09	5.357590e-09	4.124147e-09
0.3275        	6.167226e-10	1.840236e+00	1.662135e-09	1.447790e-09	2.143447e-10
0.33          	6.162848e-10	1.836147e+00	-1.429513e-08	-6.531281e-09	-7.763850e-09
0.3325        	6.160643e-10	1.832129e+00	-1.211687e-08	-5.442373e-09	-6.674502e-09
0.335         	6.158288e-10	1.828186e+00	-1.277603e-08	-5.772187e-09	-7.003845e-09
0.3375        	6.155186e-10	1.824490e+00	-1.825933e-08	-8.514146e-09	-9.745183e-09
0.34          	6.149399e-10	1.820505e+00	-4.575120e-09	-1.672620e-09	-2.902500e-09
0.3425        	6.150285e-10	1.816904e+00	-1.344025e-08	-6.105097e-09	-7.335153e-09
0.345         	6.143232e-10	1.813084e+00	-1.156414e-08	-5.167747e-09	-6.396393e-09
0.3475        	6.143959e-10	1.809590e+00	-1.371281e-08	-6.242011e-09	-7.470803e-09
0.35          	6.137566e-10	1.805976e+00	-1.096507e-08	-4.868780e-09	-6.096293e-09
0.3525        	6.137332e-10	1.802564e+00	-1.279740e-08	-5.784966e-09	-7.012432e-09
0.355         	6.132196e-10	1.799158e+00	-1.145080e-08	-5.112179e-09	-6.338618e-09
0.3575        	6.129926e-10	1.795885e+00	-1.205415e-08	-5.414080e-09	-6.640065e-09
0.36          	6.126616e-10	1.792712e+00	-1.235818e-08	-5.566428e-09	-6.791752e-09
0.3625        	6.123283e-10	1.789729e+00	-1.198029e-08	-5.377816e-09	-6.602472e-09
