# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.001         	7.290207e-08	1.688655e+03	-5.426887e-03	-2.713371e-03	-2.713516e-03
0.002         	2.982342e-07	-4.398636e+01	3.718146e-03	1.859371e-03	1.858775e-03
0.003         	2.629470e-07	4.141472e+01	6.206654e-04	3.105957e-04	3.100698e-04
0.004         	2.344309e-07	3.345823e+01	5.680331e-04	2.842510e-04	2.837821e-04
0.005         	1.683778e-07	3.267839e+01	2.120133e-04	1.061751e-04	1.058383e-04
0.006         	7.116486e-08	3.131013e+01	1.307526e-04	6.544745e-05	6.530512e-05
0.007         	-1.955938e-08	3.011394e+01	9.580891e-05	4.788489e-05	4.792401e-05
0.008         	-1.031546e-07	2.900969e+01	7.143919e-05	3.561644e-05	3.582275e-05
0.009         	-1.795479e-07	2.799681e+01	6.551683e-05	3.257887e-05	3.293796e-05
0.01          	-2.489047e-07	2.706171e+01	5.571578e-05	2.760899e-05	2.810680e-05
0.011         	-4.107994e-07	2.619395e+01	4.824043e-05	2.370941e-05	2.453101e-05
0.012         	-5.579173e-07	2.538502e+01	4.107804e-05	1.998110e-05	2.109694e-05
0.013         	-6.908738e-07	2.462806e+01	3.317124e-05	1.589475e-05	1.727649e-05
0.014         	-8.104273e-07	2.391762e+01	2.755361e-05	1.296638e-05	1.458723e-05
0.015         	-9.174153e-07	2.324924e+01	2.201987e-05	1.009252e-05	1.192735e-05
0.016         	-1.012684e-06	2.261923e+01	1.677378e-05	7.374207e-06	9.399575e-06
0.017         	-1.097079e-06	2.202444e+01	1.443037e-05	6.118105e-06	8.312262e-06
0.018         	-1.171429e-06	2.146214e+01	1.096595e-05	4.311547e-06	6.654406e-06
0.019         	-1.236516e-06	2.092991e+01	7.595702e-06	2.561335e-06	5.034367e-06
0.02          	-1.293092e-06	2.042562e+01	5.598646e-06	1.506232e-06	4.092415e-06
0.021         	-1.341865e-06	1.994734e+01	1.417720e-06	-6.330048e-07	2.050725e-06
0.022         	-1.383498e-06	1.949334e+01	3.193035e-06	2.130197e-07	2.980015e-06
0.023         	-1.418629e-06	1.906202e+01	6.191462e-07	-1.109056e-06	1.728202e-06
0.024         	-1.447819e-06	1.865193e+01	-5.437682e-07	-1.719703e-06	1.175935e-06
0.025         	-1.471611e-06	1.826174e+01	-1.788280e-06	-2.365751e-06	5.774711e-07
0.026         	-1.494148e-06	1.789024e+01	-1.493412e-06	-2.240854e-06	7.474414e-07
0.027         	-1.511793e-06	1.753625e+01	-2.530114e-06	-2.776849e-06	2.467358e-07
0.028         	-1.525015e-06	1.719873e+01	-2.865495e-06	-2.957762e-06	9.226709e-08
0.029         	-1.534251e-06	1.687672e+01	-3.690847e-06	-3.379675e-06	-3.111720e-07
0.03          	-1.539902e-06	1.656930e+01	-3.316254e-06	-3.198029e-06	-1.182250e-07
0.031         	-1.542336e-06	1.627562e+01	-3.891526e-06	-3.488100e-06	-4.034267e-07
0.032         	-1.541887e-06	1.599490e+01	-4.108793e-06	-3.596283e-06	-5.125093e-07
0.033         	-1.538863e-06	1.572641e+01	-4.919630e-06	-3.998677e-06	-9.209522e-07
0.034         	-1.533543e-06	1.546944e+01	-4.955346e-06	-4.011216e-06	-9.441301e-07
0.035         	-1.526188e-06	1.522336e+01	-4.777268e-06	-3.914822e-06	-8.624464e-07
0.036         	-1.517031e-06	1.498757e+01	-4.576984e-06	-3.805523e-06	-7.714613e-07
0.037         	-1.506285e-06	1.476151e+01	-4.774003e-06	-3.893287e-06	-8.807162e-07
0.038         	-1.494145e-06	1.454465e+01	-4.600862e-06	-3.794576e-06	-8.062858e-07
0.039         	-1.480787e-06	1.433649e+01	-4.555148e-06	-3.758362e-06	-7.967868e-07
0.04          	-1.466373e-06	1.413657e+01	-4.539907e-06	-3.736326e-06	-8.035807e-07
0.041         	-1.451047e-06	1.394446e+01	-4.423535e-06	-3.662815e-06	-7.607201e-07
0.042         	-1.434944e-06	1.375974e+01	-4.118173e-06	-3.494030e-06	-6.241431e-07
0.043         	-1.418181e-06	1.358204e+01	-4.268818e-06	-3.552590e-06	-7.162274e-07
0.044         	-1.400868e-06	1.341098e+01	-4.412155e-06	-3.606946e-06	-8.052091e-07
0.045         	-1.383103e-06	1.324623e+01	-4.798589e-06	-3.782398e-06	-1.016191e-06
